ukurowl_Re,1219587769833410560,ふくろうる＠不動産鑑定士（税理士簿財受験）
aijobcolle,872654532081098752,AIジョブカレ/データサイエンティスト・AIエンジニア養成スクール
algon_fx,959664130624925696,新米データサイエンティスト
doryokujin,73622174,チーフ データサイエンティスト@トレジャ
4dheHUxEurAEhQg,1240463616635215872,じゅんぺい＠米国人事データサイエンティスト
yukou_takahashi,1193360972687101952,高橋　佑幸@日々是学習/データサイエンティスト
Pwr_In_Nmbrs_NZ,3591185239,ビザアドバイザー&PINのデータサイエンティスト@ニュージーランド
st_data_science,1335829372326952962,田中統????データサイエンティスト
bakuro_kunn,846398872091967488,暴露クン (データサイエンティスト)
tensyokutsurai,1178488914350206977,データサイエンティスト見習い
_feel_media,1356216114812870661,MC:KAMMER＠編集者｜農業漫画と映画を作ります！ファンドマネージャー｜データサイエンティスト
TsKdatascience,1157481470165835779,タスクン@データサイエンティスト??フルリモートワーク
Ayumu_walker,330899060,Ayumu Shiraishi @駆け出したいデータサイエンティストもどき
watashinagata,928930626123657216,ナガタ@212万をPython自動化で稼ぐデータサイエンティスト
yokubaribambids,1303631343352307712,ばんび@データサイエンティスト×営業
Toeic99010,1180761560861405185,Toeic990を目指すデータサイエンティスト
88rxyxo,555296778,りょ??駆け出しデータサイエンティスト
